sample_id,IoU,Dice,Precision,Recall,F1,PixelAcc,TP,FP,FN,TN
Paraguay_34417,7.99999999936e-11,7.99999999936e-11,1.0,7.99999999936e-11,1.5999983997456004e-10,0.8092651367064017,0,0,12500,53036
Paraguay_868895,0.5389444772338738,0.70040795516313,0.7052631579704074,0.6956191441641886,0.7004074552253772,0.9641418456884134,2747,1148,1202,60439
Paraguay_511199,0.42772736876393175,0.5991723323087241,0.5196103564420379,0.707504363103838,0.5991718440910062,0.9586181640478727,2027,1874,838,60797
Paraguay_80102,2.499999375000156e-07,2.499999375000156e-07,1.0,2.499999375000156e-07,4.99999250001e-07,0.9999389648284922,0,0,4,65532
Paraguay_651904,0.7280701754764592,0.8426395939213086,0.9314214463962556,0.7693099897352789,0.8426390984771034,0.9701995849461336,5229,385,1568,58354
Somalia_699062,0.591428571817687,0.7432675046419704,0.7288732397548436,0.7582417585369453,0.7432670049909512,0.9934539794770287,621,231,198,64486
Somalia_60129,5.91715972830083e-09,5.91715972830083e-09,4.99999750000125e-07,5.9880239162393775e-09,3.9761417894229615e-09,0.9974212646332181,0,2,167,65367
Somalia_685158,0.7167548501214868,0.8350113006071495,0.732692307724436,0.9705460913914112,0.8350108103695147,0.9632415771337397,6096,2224,185,57031
Somalia_166342,3.3333322222225924e-07,3.3333322222225924e-07,1.0,3.3333322222225924e-07,6.666655555571853e-07,0.9999542236175545,0,0,3,65533
Somalia_94102,0.8492489270790641,0.9184798375517146,0.8506179473802746,0.9981084489287174,0.918479340746194,0.9914245605317472,3166,556,6,61808
Somalia_322855,0.760374547793121,0.8638781431389475,0.7884516366466752,0.9552624543306958,0.8638776477205258,0.9484558105324028,10719,2876,502,51439
Spain_6860600,0.3500000064999999,0.518518522085048,0.46052632288781153,0.5932203458776213,0.5185180335807136,0.9990081786956939,35,41,24,65436
Spain_7558720,0.4117647064789405,0.5833333336326628,0.47264260829727284,0.7617260792462925,0.5833328613561184,0.9911499023286263,406,453,127,64550
Spain_5650136,0.8955556380687054,0.9449003976270758,0.9613774961153742,0.9289785857368288,0.944899897775293,0.9570770263525837,24120,969,1844,38603
Spain_7370579,0.6531633690602501,0.7901982118409054,0.6751273138923641,0.9525547445282531,0.790197726371618,0.8646545410024316,16704,8038,832,39962
Spain_6095801,0.6026626879831674,0.7520767688518994,0.6371799539331173,0.9175257732102873,0.752076285127765,0.9471740722511723,5251,2990,472,56823
Spain_7387658,0.7925257732009209,0.884255930986473,0.9157442265574045,0.854861129327943,0.8842554315795053,0.8697967529164156,32595,2999,5534,24408
Sri-Lanka_117737,0.1473922907327708,0.25691699641456667,0.7738095244827098,0.15402843652012532,0.2569167198834394,0.9770507812350915,260,76,1428,63772
Sri-Lanka_1049830,0.5210871607112585,0.685150955215557,0.5767634859162204,0.8437025799033345,0.685150473067528,0.9922027587739228,556,408,103,64469
Sri-Lanka_534068,0.8497718170834533,0.918785559640176,0.9982676562300868,0.8510267850226029,0.9187850628108005,0.8523254394401196,54744,95,9583,1114
Sri-Lanka_922192,0.4855491344348291,0.6536964987282169,0.6363636377410469,0.672000001312,0.6536959997732779,0.9972839355316577,168,96,82,65190
Sri-Lanka_377277,0.16069788835596976,0.2768987344632521,0.9589041097016325,0.1618122981221395,0.27689848767653646,0.972106933578917,350,15,1813,63358
Sri-Lanka_649970,0.5330179381957386,0.6953838241358643,0.7858180762029009,0.623616236249166,0.6953833307974243,0.9638519286962304,2704,737,1632,60463
Sri-Lanka_450918,0.5397631137565455,0.7010989012631325,0.8428005286092464,0.6001881471305849,0.701098415561863,0.991699218734868,638,119,425,64354
Sri-Lanka_849649,0.6978557510763046,0.82204362821809,0.901763224428808,0.7552742621196745,0.8220431323303474,0.9976348876800899,358,39,116,65023
Sri-Lanka_713926,0.9784760019802832,0.9891209203454016,0.9940182969742627,0.9842715643828445,0.9891204203580632,0.9933624267426551,19775,119,316,45326
USA_905409,0.9580425757478984,0.9785717508017066,0.9779100171329989,0.9792343806447061,0.9785712508031577,0.9927520751801644,10846,245,230,54215
USA_430764,0.6836856801588181,0.8121298270774544,0.7507665353152065,0.8844169246944229,0.8121293304402509,0.9757995605319856,3428,1138,448,60522
USA_350244,0.5746268667297839,0.7298578203319782,0.7427652741390184,0.7173913052254929,0.7298573209100754,0.9973907470550937,231,80,91,65134
USA_527077,0.6441005809591865,0.7835294120193772,0.7762237767453991,0.7909738722304659,0.7835289123186582,0.9971923827972842,333,96,88,65019
USA_933610,0.7624683011306269,0.8652278178104424,0.7982300886741326,0.9445026178591596,0.8652273213977281,0.9957122802582442,902,228,53,64353
USA_66511,0.34127980007367653,0.5088868105623136,0.6956521746914267,0.4011799418861653,0.5088863470616194,0.991989135727051,272,119,406,64739
USA_519181,0.6300751885262027,0.7730627308366579,0.7659963441206649,0.7802607080442072,0.7730622310888842,0.9962463378754236,419,128,118,64871
USA_778194,0.7846425421141724,0.8793273986749123,0.8442545110690839,0.9174406605599168,0.8793268995977869,0.9962768554535482,889,164,80,64403
USA_67102,0.875048506063233,0.9333609271661091,0.9207839934990674,0.9462861938958094,0.9333604272734514,0.9950866699066913,2255,194,128,62959
USA_1049586,0.7343750004150391,0.8468468469848226,0.8159722225417149,0.8801498129585209,0.8468463478389437,0.997406005844156,470,106,64,64896
USA_595451,0.6559573781633907,0.7922394462520972,0.7961983147567708,0.7883197516902755,0.7922389462850298,0.96748352049305,4063,1040,1091,59342
USA_670826,0.17474489901180498,0.2975027152035801,0.7611111124382716,0.1848852912484679,0.29750240148057133,0.9901275634614545,137,43,604,64752
USA_504150,0.6988577365536265,0.822738386416419,0.820731707535693,0.8247549021755455,0.8227378865280627,0.9955749511566838,673,147,143,64573
USA_758178,0.40322580765478666,0.574712644289206,0.6849315079283167,0.4950495062003725,0.574712157848213,0.9954833984223103,200,92,204,65040
