epoch,train_loss,val_loss,iou,dice,precision,recall,f1,pixel_acc,learning_rate,t1_sar_gamma,t1_optical_gamma,t1_fused_gamma,t2_sar_gamma,t2_optical_gamma,t2_fused_gamma,t3_sar_gamma,t3_optical_gamma,t3_fused_gamma
42,0.38020829522302224,0.6132731765843509,0.5567278022573781,0.6391588658365852,0.8141507381403957,0.6372087209324556,0.6391584926695107,0.9718062154362711,8.950775061878454e-05,0.09590528905391693,0.07848438620567322,0.10155726224184036,0.08457124978303909,0.06837648898363113,0.08618191629648209,0.11608101427555084,0.0984039455652237,0.11360328644514084
43,0.36904804452898954,0.684609616740366,0.5202578436234688,0.6050095166008411,0.8832316914735061,0.566698148590492,0.6050091633514096,0.966571593552493,8.902152036691652e-05,0.09651262313127518,0.07878904789686203,0.10237650573253632,0.0858566090464592,0.06925569474697113,0.08717804402112961,0.11627865582704544,0.0976191982626915,0.11389854550361633
44,0.38897607706132387,0.7086607164211487,0.5179085380793772,0.6021130249972595,0.8995756148843457,0.5585240965768838,0.6021126743005023,0.9630162957009305,8.85256621387895e-05,0.0978986844420433,0.07909815013408661,0.10302237421274185,0.08688099682331085,0.07121024280786514,0.08854798227548599,0.11725488305091858,0.09855306893587112,0.1159503236413002
45,0.3872183174160974,0.8307473640261072,0.474256794202949,0.557004493040338,0.8562490866377119,0.5290500244257291,0.5570041744059816,0.9544641730490695,8.80202982800016e-05,0.09753052145242691,0.0801432803273201,0.10354062914848328,0.08794310688972473,0.07243944704532623,0.08999445289373398,0.11789686232805252,0.09846820682287216,0.11620204895734787
46,0.3716960610851409,0.6426311402340953,0.5386928878348659,0.625771976247761,0.8066253510678935,0.632477320448108,0.625771602748723,0.9675083803326896,8.750555348152302e-05,0.09859855473041534,0.07972278445959091,0.10560336709022522,0.08933976292610168,0.0746917799115181,0.09192404896020889,0.11884594708681107,0.10017091035842896,0.11739633232355118
47,0.3696474273881269,0.6013265965359934,0.5668819999438826,0.6552147645075669,0.7817860223575904,0.6816665521518983,0.6552143807195351,0.9711331142468399,8.698155474893052e-05,0.099478580057621,0.0815928652882576,0.10589121282100677,0.08853039145469666,0.07349395751953125,0.0908091813325882,0.11924286186695099,0.10025695711374283,0.11818236112594604
48,0.3658066702385743,0.5667963074834159,0.565548148231907,0.6501847176422184,0.7954489545922581,0.6602305457137537,0.6501843306960138,0.973137330473139,8.644843137107061e-05,0.10028927773237228,0.08238017559051514,0.1073010042309761,0.08873950690031052,0.07377801090478897,0.08994068205356598,0.12119738757610321,0.10312424600124359,0.1206035166978836
49,0.38339458042312236,0.639736852535371,0.5240189716467437,0.6050464378355918,0.8781450219072152,0.5791839997754913,0.605046093588032,0.9704540124100246,8.590631488815948e-05,0.10153540223836899,0.08418767154216766,0.10852348059415817,0.08938314020633698,0.0764622613787651,0.09179756045341492,0.12064935266971588,0.1021227017045021,0.12083340436220169
50,0.3540621804487374,0.7054616640625375,0.5142154306145117,0.6045624722625186,0.8290796508239942,0.5850783303464603,0.604562111826014,0.9605634024973666,8.53553390593274e-05,0.10258246213197708,0.08422328531742096,0.10888205468654633,0.09061358869075775,0.07735319435596466,0.09312882274389267,0.12145502865314484,0.10242556780576706,0.12087187170982361
51,0.36189510421975263,0.684346018463708,0.504606628985717,0.5906469602379083,0.904452094889671,0.541449519908915,0.5906466154958152,0.9621192846405372,8.479563982961574e-05,0.10347681492567062,0.08540894091129303,0.10966548323631287,0.0916760042309761,0.07632686197757721,0.09382786601781845,0.12102188169956207,0.10181892663240433,0.12034350633621216
52,0.3537335156921356,0.663145361363553,0.5239326218110697,0.6085628726278931,0.8928195512062677,0.5729801048173938,0.6085625178742802,0.9648151183396243,8.422735529643446e-05,0.10491275042295456,0.08566661924123764,0.11114346235990524,0.09408439695835114,0.07755650579929352,0.09483828395605087,0.12033028155565262,0.10279170423746109,0.12002333998680115
53,0.3522687673509594,0.6275997213768155,0.5672857034634042,0.6529325260567989,0.8293657619698405,0.6408798244083744,0.6529321356805426,0.9685351768236482,8.365062567548869e-05,0.10707341134548187,0.08627191185951233,0.11201947927474976,0.09426234662532806,0.07852985709905624,0.09591301530599594,0.1213279590010643,0.1024368479847908,0.11981740593910217
54,0.3519959888820137,0.7474305908499139,0.5029055529808744,0.5823851474538271,0.9237379154629921,0.528201525804971,0.5823848074194061,0.9614439546392205,8.306559326618262e-05,0.10691864043474197,0.08684844523668289,0.11316327750682831,0.09411267191171646,0.07959729433059692,0.09622117131948471,0.12144820392131805,0.10211843997240067,0.11987917125225067
55,0.34042424375989605,0.5828496009278833,0.5638458590355399,0.6533723849591244,0.7365828175605772,0.6992321938236195,0.6533719836139588,0.9708725147033006,8.24724024165092e-05,0.10930683463811874,0.0867568850517273,0.11502141505479813,0.09549963474273682,0.07975102216005325,0.0970240905880928,0.12046457827091217,0.10478296875953674,0.11956940591335297
56,0.3380214401432091,0.6679574603612504,0.533329451696629,0.6158264958177431,0.9063449898059516,0.5752383623730908,0.6158261384533642,0.9665265029735779,8.187119948743451e-05,0.10887327045202255,0.08809855580329895,0.11471037566661835,0.09531452506780624,0.08128758519887924,0.09739552438259125,0.12139768153429031,0.10516731441020966,0.12053237855434418
